core,TD,BD,age,CO2,d18O,dD,CH4,TAC
ALHIC2201,6.877807481329721,,,,,,660.1602584,
ALHIC2201,6.883788579736964,,,,,,661.1581899,
ALHIC2201,6.889769678144208,,,,,,662.4168253198718,
ALHIC2201,6.895750776551451,,,,,,666.4134243486077,
ALHIC2201,6.901731874958694,,,,,,670.6931541735462,
ALHIC2201,6.907712973365937,,,,,,678.9218770035367,
ALHIC2201,6.913694071773181,,,,,,688.5127726,
ALHIC2201,6.919675170180424,,,,,,702.1180162398686,
ALHIC2201,6.925656268587668,,,,,,720.5929562199469,
ALHIC2201,6.931637366994911,,,,,,742.1398332231955,
ALHIC2201,6.937618465402155,,,,,,755.0544558276256,
ALHIC2201,6.943599563809398,,,,,,762.4520775540233,
ALHIC2201,6.949580662216642,,,,,,759.4108236206748,
ALHIC2201,6.955561760623885,,,,,,753.0495009997175,
ALHIC2201,6.961542859031129,,,,,,742.8133910084979,
ALHIC2201,6.967523957438372,,,,,,727.9146282752131,
ALHIC2201,6.973505055845616,,,,,,715.4576962,
ALHIC2201,6.979486154252858,,,,,,694.4020117682036,
ALHIC2201,6.985467252660102,,,,,,666.4455478799708,
ALHIC2201,6.991448351067345,,,,,,638.5894741144954,
ALHIC2201,6.997429449474589,,,,,,616.2958392678121,
ALHIC2201,7.003410547881832,,,,,,593.7648535,
ALHIC2201,7.009391646289076,,,,,,578.6874051350334,
ALHIC2201,7.015372744696319,,,,,,570.2669481621977,
ALHIC2201,7.0213538431035625,,,,,,566.82299,
ALHIC2201,7.027334941510806,,,,,,561.3257385326688,
ALHIC2201,7.033316039918049,,,,,,555.8520272,
ALHIC2201,7.039297138325293,,,,,,554.1346230687691,
ALHIC2201,7.045278236732536,,,,,,553.1451347726568,
ALHIC2201,7.051259335139779,,,,,,550.0646524313702,
ALHIC2201,7.057240433547023,,,,,,547.768154,
ALHIC2201,7.063221531954266,,,,,,541.7040668442191,
ALHIC2201,7.069202630361509,,,,,,537.1941445673455,
ALHIC2201,7.075183728768753,,,,,,534.5039338883806,
ALHIC2201,7.081164827175996,,,,,,530.7400240275826,
ALHIC2201,7.087145926,,,,,,529.4297146187845,
ALHIC2201,7.093127023990483,,,,,,525.4726948978347,
ALHIC2201,7.099108122397727,,,,,,525.1009737590197,
ALHIC2201,7.105089221,,,,,,527.7371839787044,
ALHIC2201,7.111070319212214,,,,,,528.3014770435708,
ALHIC2201,7.117051417619457,,,,,,530.3141207689972,
ALHIC2201,7.123032516026701,,,,,,564.8131936885928,
ALHIC2201,7.129013614433943,,,,,,562.4607246,
ALHIC2201,7.134994712841187,,,,,,557.7085822,
ALHIC2201,7.140975811,,,,,,557.988236,
ALHIC2201,7.146956909655674,,,,,,598.3027884513817,
ALHIC2201,7.152938008062917,,,,,,678.9281191977144,
ALHIC2201,7.158919106470161,,,,,,754.3097134752246,
ALHIC2201,7.164900204877404,,,,,,799.3566550698379,
ALHIC2201,7.170881303284648,,,,,,824.3447701407224,
ALHIC2201,7.176862401691891,,,,,,827.8701701609635,
ALHIC2201,7.182843500099135,,,,,,814.1061274224616,
ALHIC2201,7.188824598506378,,,,,,803.2343157634831,
ALHIC2201,7.194805696913622,,,,,,781.3626456971706,
ALHIC2201,7.200786795320864,,,,,,762.2090796200498,
